iter	RMSE
0	13.34691829
1	10.37973418
2	8.264830409
3	6.753687906
4	5.440721799
5	4.542347185
6	4.006640107
7	3.524772881
8	3.163199837
9	2.914609763
10	2.666779446
11	2.489886385
12	2.376225475
13	2.283141374
14	2.210794314
15	2.143191796
16	2.074157018
17	2.007484474
18	1.974340564
19	1.936409911
20	1.888080855
21	1.844903794
22	1.81013078
23	1.782784761
24	1.755116247
25	1.713630746
26	1.686186386
27	1.657188883
28	1.638367079
29	1.605923166
30	1.584219995
31	1.545682802
32	1.526392371
33	1.488666672
34	1.456979703
35	1.429777977
36	1.400915616
37	1.380980498
38	1.365249977
39	1.352893657
40	1.33787977
41	1.328534674
42	1.301133829
43	1.280895724
44	1.25474893
45	1.237868865
46	1.225202707
47	1.21137315
48	1.199659988
49	1.18213716
50	1.171247931
51	1.157934361
52	1.146154737
53	1.124136198
54	1.100934399
55	1.092066875
56	1.080051374
57	1.072116499
58	1.061966301
59	1.054801095
60	1.042385482
61	1.026856345
62	1.015764232
63	0.9985943045
64	0.9883290925
65	0.9790322664
66	0.9717798544
67	0.9623346631
68	0.9571115065
69	0.9527370709
70	0.9434851967
71	0.9364912088
72	0.9269772102
73	0.9146160206
74	0.9031636162
75	0.8916434293
76	0.8808557481
77	0.8753187407
78	0.869548423
79	0.8632337948
80	0.8506762107
81	0.8432508782
82	0.8336776968
83	0.8255463435
84	0.8125874666
85	0.8095073436
86	0.8016368993
87	0.7928925294
88	0.7892423313
89	0.7823390021
90	0.7754580477
91	0.7702198047
92	0.7632479944
93	0.756623646
94	0.7518552535
95	0.7454314836
96	0.7408963474
97	0.7366203447
98	0.7304075657
99	0.7189515955
