iter	Passed	Remaining
0	5	525
1	9	461
2	13	446
3	18	433
4	22	419
5	25	398
6	28	378
7	31	358
8	33	342
9	36	331
10	39	323
11	42	313
12	45	306
13	48	298
14	51	291
15	54	285
16	57	282
17	61	279
18	64	276
19	68	274
20	72	273
21	76	272
22	81	273
23	87	276
24	93	279
25	98	279
26	104	281
27	109	282
28	115	283
29	121	284
30	128	285
31	136	289
32	143	291
33	150	291
34	156	291
35	163	291
36	170	291
37	179	292
38	186	291
39	194	291
40	206	296
41	217	300
42	224	297
43	231	295
44	239	292
45	247	290
46	254	286
47	262	284
48	269	280
49	278	278
50	285	274
51	294	272
52	304	270
53	312	265
54	319	261
55	327	257
56	333	251
57	340	246
58	346	241
59	353	235
60	360	230
61	366	224
62	372	218
63	378	213
64	384	206
65	390	200
66	396	195
67	401	188
68	406	182
69	411	176
70	416	169
71	420	163
72	425	157
73	430	151
74	436	145
75	442	139
76	447	133
77	453	127
78	460	122
79	465	116
80	469	110
81	474	104
82	479	98
83	484	92
84	489	86
85	494	80
86	500	74
87	505	68
88	509	62
89	514	57
90	518	51
91	523	45
92	528	39
93	533	34
94	539	28
95	544	22
96	550	17
97	556	11
98	561	5
99	567	0
