food_id,food_item,calories,carbs,protein,fat,glycemic_index,meal_type,culture,estimated_weight_g
f1000,Millet with fish and tomato,1140.535373,152.9,45.9,33.6,52,Breakfast,Sri Lankan,877
f1001,Rice with chicken and cabbage,750.4780115,78.3,39,29,69,Breakfast,Sri Lankan,577
f1002,Millet with chicken and beans,1197.418738,149.6,52.2,40.9,52,Dinner,Sri Lankan,921
f1003,Millet with beef and onion,1271.988528,72.4,35.8,92.9,63,Lunch,Sri Lankan,978
f1004,Wheat with egg and cucumber,948.8527725,120.8,37.1,32.2,69,Dinner,Sri Lankan,730
f1005,Millet with egg and carrot,1267.686424,148.6,42.4,52.1,64,Breakfast,Sri Lankan,975
f1006,Kurakkan with beef and cucumber,516.4913958,3.7,64.5,26.3,65,Dinner,Sri Lankan,397
f1007,Bread with chicken and cabbage,1165.869981,126.5,55,46.8,65,Dinner,Sri Lankan,897
f1008,Rice with egg and carrot,852.2944551,105.2,19.6,38.7,70,Snack,Sri Lankan,656
f1009,Bread with egg and onion,990.6787763,43.5,59.8,63.5,64,Dinner,Sri Lankan,762
f1010,Wheat with lentils and carrot,1782.026769,145.8,24.7,122.2,56,Dinner,Sri Lankan,1371
f1011,Millet with tofu and tomato,581.500956,40.9,42,26.2,63,Breakfast,Sri Lankan,447
f1012,Wheat with fish and carrot,1997.609943,135,46.7,140,60,Lunch,Sri Lankan,1537
f1013,Bread with fish and carrot,691.4435946,74.2,27.7,26.7,49,Breakfast,Sri Lankan,532
f1014,Rice with lentils and onion,848.709369,114.3,20.8,30.7,54,Lunch,Sri Lankan,653
f1015,Bread with fish and beans,1565.487572,123.3,22.5,109.2,48,Lunch,Sri Lankan,1204
f1016,Kurakkan with mung beans and cucumber,303.7762906,42.7,9.4,8.9,57,Lunch,Sri Lankan,234
f1017,Millet with fish and beans,491.1567878,29.2,43,21.4,49,Snack,Sri Lankan,378
f1018,Rice with beef and cucumber,704.3499044,38.4,73.2,26.8,51,Snack,Sri Lankan,542
f1019,Kurakkan with tofu and onion,986.1376673,9.5,9,102.5,58,Lunch,Sri Lankan,759
f1020,Bread with tofu and tomato,1265.774379,20.8,22.6,121.9,69,Dinner,Sri Lankan,974
f1021,Kurakkan with beef and cucumber,490.4397706,8.6,57.4,24.5,53,Snack,Sri Lankan,377
f1022,Kurakkan with mung beans and cabbage,404.875717,42.8,31.7,10.8,59,Lunch,Sri Lankan,311
f1023,Bread with lentils and cabbage,1515.774379,90.5,21.5,117.9,62,Snack,Sri Lankan,1166
f1024,Kurakkan with chicken and tomato,1344.407266,13.7,52,119.9,68,Breakfast,Sri Lankan,1034
f1025,Millet with chicken and carrot,1636.711281,100.3,30.3,121.2,67,Snack,Sri Lankan,1259
f1026,Rice with mung beans and carrot,1309.512428,60.7,8.8,114.7,62,Dinner,Sri Lankan,1007
f1027,Millet with chicken and beans,1771.510516,118.2,73.6,111.7,60,Snack,Sri Lankan,1363
f1028,Millet with fish and carrot,1530.114723,105.4,38.8,106.3,62,Dinner,Sri Lankan,1177
f1029,Millet with beef and tomato,956.2619503,97.9,46.7,40.4,66,Snack,Sri Lankan,736
f1030,Rice with beef and tomato,664.4359465,43,51.4,30.3,47,Lunch,Sri Lankan,511
f1031,Kurakkan with mung beans and beans,283.4608031,15.8,6.1,22,61,Dinner,Sri Lankan,218
f1032,Bread with mung beans and onion,1056.644359,144.9,33.6,37.3,58,Dinner,Sri Lankan,813
f1033,Kurakkan with mung beans and carrot,990.4397706,21.5,24.2,89.8,53,Snack,Sri Lankan,762
f1034,Wheat with chicken and tomato,831.0229446,81.5,43.1,34.3,64,Snack,Sri Lankan,639
f1035,Wheat with mung beans and cucumber,630.0191205,79.5,30.8,18.3,49,Lunch,Sri Lankan,485
f1036,Kurakkan with beef and cucumber,1166.586998,6.5,55.8,102.6,58,Lunch,Sri Lankan,897
f1037,Bread with fish and cabbage,474.1873805,42.2,31.8,18.5,47,Breakfast,Sri Lankan,365
