source,relation,target
u1,hasRisk,d1
u2,hasRisk,d1
u3,hasRisk,d1
u4,hasRisk,d1
u5,hasRisk,d1
u6,hasRisk,d1
u7,hasRisk,d1
u8,hasRisk,d1
u9,hasRisk,d1
u10,hasRisk,d1
u11,hasRisk,d1
u12,hasRisk,d1
u13,hasRisk,d1
u14,hasRisk,d1
u15,hasRisk,d1
u16,hasRisk,d1
u17,hasRisk,d1
u18,hasRisk,d1
u19,hasRisk,d1
u20,hasRisk,d1
u21,hasRisk,d1
u22,hasRisk,d1
u23,hasRisk,d1
u24,hasRisk,d1
u25,hasRisk,d1
u26,hasRisk,d1
u27,hasRisk,d1
u28,hasRisk,d1
u29,hasRisk,d1
u30,hasRisk,d1
u31,hasRisk,d1
u32,hasRisk,d1
u33,hasRisk,d1
u34,hasRisk,d1
u35,hasRisk,d1
u36,hasRisk,d1
u37,hasRisk,d1
u38,hasRisk,d1
u39,hasRisk,d1
u40,hasRisk,d1
u41,hasRisk,d1
u42,hasRisk,d1
u43,hasRisk,d1
u44,hasRisk,d1
u45,hasRisk,d1
u46,hasRisk,d1
u47,hasRisk,d1
u48,hasRisk,d1
u49,hasRisk,d1
u50,hasRisk,d1
u51,hasRisk,d1
u52,hasRisk,d1
u53,hasRisk,d1
u54,hasRisk,d1
u55,hasRisk,d1
u56,hasRisk,d1
u57,hasRisk,d1
u58,hasRisk,d1
u59,hasRisk,d1
u60,hasRisk,d1
u61,hasRisk,d1
u62,hasRisk,d1
u63,hasRisk,d1
u64,hasRisk,d1
u65,hasRisk,d1
u66,hasRisk,d1
u67,hasRisk,d1
u68,hasRisk,d1
u69,hasRisk,d1
u70,hasRisk,d1
u71,hasRisk,d1
u72,hasRisk,d1
u73,hasRisk,d1
u74,hasRisk,d1
u75,hasRisk,d1
u76,hasRisk,d1
u77,hasRisk,d1
u78,hasRisk,d1
u79,hasRisk,d1
u80,hasRisk,d1
u81,hasRisk,d1
u82,hasRisk,d1
u83,hasRisk,d1
u84,hasRisk,d1
u85,hasRisk,d1
u86,hasRisk,d1
u87,hasRisk,d1
u88,hasRisk,d1
u89,hasRisk,d1
u90,hasRisk,d1
u91,hasRisk,d1
u92,hasRisk,d1
u93,hasRisk,d1
u94,hasRisk,d1
u95,hasRisk,d1
u96,hasRisk,d1
u97,hasRisk,d1
u98,hasRisk,d1
u99,hasRisk,d1
u100,hasRisk,d1
u101,hasRisk,d1
u102,hasRisk,d1
u103,hasRisk,d1
u104,hasRisk,d1
u105,hasRisk,d1
u106,hasRisk,d1
u107,hasRisk,d1
u108,hasRisk,d1
u109,hasRisk,d1
u110,hasRisk,d1
u111,hasRisk,d1
u112,hasRisk,d1
u113,hasRisk,d1
u114,hasRisk,d1
u115,hasRisk,d1
u116,hasRisk,d1
u117,hasRisk,d1
u118,hasRisk,d1
u119,hasRisk,d1
u120,hasRisk,d1
u121,hasRisk,d1
u122,hasRisk,d1
u123,hasRisk,d1
u124,hasRisk,d1
u125,hasRisk,d1
u126,hasRisk,d1
u127,hasRisk,d1
u128,hasRisk,d1
u129,hasRisk,d1
u130,hasRisk,d1
u131,hasRisk,d1
u132,hasRisk,d1
u133,hasRisk,d1
u134,hasRisk,d1
u135,hasRisk,d1
u136,hasRisk,d1
u137,hasRisk,d1
u138,hasRisk,d1
u139,hasRisk,d1
u140,hasRisk,d1
u141,hasRisk,d1
u142,hasRisk,d1
u143,hasRisk,d1
u144,hasRisk,d1
u145,hasRisk,d1
u146,hasRisk,d1
u147,hasRisk,d1
u148,hasRisk,d1
u149,hasRisk,d1
u150,hasRisk,d1
u151,hasRisk,d1
u152,hasRisk,d1
u153,hasRisk,d1
u154,hasRisk,d1
u155,hasRisk,d1
u156,hasRisk,d1
u157,hasRisk,d1
u158,hasRisk,d1
u159,hasRisk,d1
u160,hasRisk,d1
u161,hasRisk,d1
u162,hasRisk,d1
u163,hasRisk,d1
u164,hasRisk,d1
u165,hasRisk,d1
u166,hasRisk,d1
u167,hasRisk,d1
u168,hasRisk,d1
u169,hasRisk,d1
u170,hasRisk,d1
u171,hasRisk,d1
u172,hasRisk,d1
u173,hasRisk,d1
u174,hasRisk,d1
u175,hasRisk,d1
u176,hasRisk,d1
u177,hasRisk,d1
u178,hasRisk,d1
u179,hasRisk,d1
u180,hasRisk,d1
u181,hasRisk,d1
u182,hasRisk,d1
u183,hasRisk,d1
u184,hasRisk,d1
u185,hasRisk,d1
u186,hasRisk,d1
u187,hasRisk,d1
u188,hasRisk,d1
u189,hasRisk,d1
u190,hasRisk,d1
u191,hasRisk,d1
u192,hasRisk,d1
u193,hasRisk,d1
u194,hasRisk,d1
u195,hasRisk,d1
u196,hasRisk,d1
u197,hasRisk,d1
u198,hasRisk,d1
u199,hasRisk,d1
u200,hasRisk,d1
u201,hasRisk,d1
u202,hasRisk,d1
u203,hasRisk,d1
u204,hasRisk,d1
u205,hasRisk,d1
u206,hasRisk,d1
u207,hasRisk,d1
