Food,Category,Recipe/Single_food_item,Fiber_(g),Quantity,Carbohydrate_(g),Protein_(g),Fat_(g),Calories_(kcal),Protein_(g)_nutritions,Fats_(g),Carbohydrates_(g),Starch_(g),Cholesterol_(mg),Calcium_(mg),Magnesium_(mg),Iron_(mg),Zinc_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Vitamin_B6_(mg),Vitamin_B12_(mcg),"Folate,_ug",Vitamin_C_(mg),Retinol_Activity_Equivalents_(ug),Vitamin_E_(ug),total_n-6_fas_(%_of_energy),total_n-3_fas_(%_of_energy),Vitamin_B5_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Selenium_(mcg),Retinol_(mcg),Saturated_fatty_acids_(g),Mono-unsaturated_fatty_acids_(g),Poly-unsaturated_fatty_acids_(g),Free_sugars_(g)
ADA,Breakfast,S,,80.0,61.0,5.0,2.0,280.0,5.3843307212000004,6.565710923799999,51.82753407599999,17.4100003642,8.638186646,58.97659453,19.904670262,2.4211525876,0.5736974266,0.084931871,0.0631084368,1.2614960832,0.1424878382,0.0241652856,24.387046852,1.0744522285999998,27.3566817232,0.12456033819999998,4.819999999999999,0.08,0.3609731964,68.693967814,200.704441,35.5119881558,6.5000148776,46.333333333333336,1176.4446644,1161.2025816,388.71207799999996,0.9735296156000001
"AGATHI FLOWERS, TEMPERED",Dessert,R,10.40014553,86.0,36.4,5.7,13.26,366.2,9.288287163,10.81378651,10.609272,5.58928299,0.0,906.6439819,108.9732895,4.939284801,0.706838965,0.266051203,0.336980194,1.338399887,0.303277045,0.1,113.6247635,111.7454987,1883.221191,1.817338943,1.7200000000000002,1.44,0.802873015,78.34031677,809.4143066,20.9017849,30.84196281,187.6,120.533872,80.5770454,209.227992,2.595276117
AGGALA,Dessert,R,0,86.0,60.839999999999996,4.220000000000001,5.1,333.4,3.7,0.5,91.3,45.8,0.0,20.0,15.6,1.26,0.83,0.06,0.03,2.0,0.12,0.0,11.4,0.1,0.0,0.1,0.3,0.0,0.10215020860000001,16.912391496,49.417958068,19.6243985296,6.694397302400001,7.8,0.9099999999999999,0.9516,0.376,10.237876681600001
ALMONDS,Breakfast,S,13.1,30.0,6.0,6.0,15.0,180.0,18.4,58.5,3.0,0.0,0.0,228.0,318.0,4.59,3.5,0.15,0.26,3.7,0.09,0.0,36.5,0.7,0.0,25.9,19.4,0.0,1.1113649903999998,308.94740156,919.9485039799998,29.137727440000003,15.441433666,3.2,1805.79066,6151.048678,2334.153246,2.196240606
ALUWA,Breakfast,S,1.2,100.0,85.0,3.0,8.0,400.0,3.3,0.4,79.7,40.0,0.0,18.0,13.6,1.09,0.73,0.05,0.03,1.8,0.1,0.0,10.0,0.1,0.0,0.1,0.3,0.0,0.10215020860000001,16.912391496,49.417958068,19.6243985296,6.694397302400001,7.8,88.10988,78.68981000000001,104.95756999999999,10.2372292544
"AMARANTH LEAVES, BOILED, W/ COCONUT MILK",Dessert,R,3.0383439,100.0,51.04,5.12,10.36,366.2,3.572233,11.603986,5.3771262,0.70081401,0.0,220.90326,134.41615,3.0925009,1.242702,0.028137099,0.12930165,0.82762003,0.15973285,0.1,43.675716,38.947781,885.64069,0.334923,3.4200000000000004,0.41999999999999993,0.298511,59.223755,421.30972,12.471361,11.643946,205.2,128.83292,33.138187,231.82468,0.71595401
"AMARANTH LEAVES, FRESH OR WATER-COOKED MALLUM W/ SCRAPED COCONUT",Dessert,R,3.4,86.0,29.639999999999997,4.12,10.76,346.2,3.7,12.4,8.0,0.2,0.0,571.0,135.7,16.19,1.25,0.03,0.04,0.1,0.03,0.0,10.6,9.4,804.0,0.9,1.2,0.0,0.48181808020000005,69.930975366,439.00266054,20.17742974,15.222244896000001,186.0,53.171983999999995,17.504007,104.37629799999999,1.0923622854
"AMARANTH LEAVES, TEMPERED",Dessert,R,7.816566,86.0,36.4,5.7,13.26,366.2,6.0670543,17.161535,8.1330433,3.1564021,0.0,339.73566,277.65109,5.4131107,1.971606,0.053597949,0.29469284,1.2237672,0.36328664,0.1,89.728615,94.989296,1661.7511,0.75497299,2.8,1.24,0.76578903,144.58707,955.00397,26.323135,24.048986,203.6,337.95044,305.48926,677.64728,2.1310852
"AMARANTH LEAVES, TEMPERED MALLUM W/ SCRAPED COCONUT",Dessert,R,3.3,86.0,29.639999999999997,4.12,10.76,346.2,3.6,15.8,7.6,0.1,0.0,549.0,130.1,15.59,1.2,0.03,0.04,0.1,0.03,0.0,9.9,9.2,774.0,0.9,1.3,0.0,0.48181808020000005,69.930975366,439.00266054,21.669201817999998,15.222244895999998,186.0,66.3676618,17.504007000000005,104.37629799999999,1.0923622854
"AMBARELLA, RAW",Breakfast,S,4.67,92.0,41.32,2.2600000000000002,2.54,183.2,0.73,0.44,7.46,5.53,0.0,20.7,9.28,0.7,0.12,0.048,0.01,0.42,0.1,0.0,44.49,35.51,3.36,0.43,2.14,0.8400000000000001,0.12,14.6,174.0,5.99,2.52,0.0,24.289814,19.36553,55.69054140000001,2.6846954044
