Food Name,Ingredients,SuitableForDiabetic,Calories_(kcal),Carbohydrate_(g),Protein_(g),Fat_(g),Fiber_(g),Free_sugars_(g),Cholesterol_(mg),Sodium_(mg)
ALMONDS,['ALMONDS'],TRUE,180,6,6,15,13.1,2.196240606,0,29.13772744
AMBUL KESEL,['AMBUL KESEL'],TRUE,45,11,0.5,0.1,,0.973529616,0,35.51198816
AMBUN KESEL,['AMBUN KESEL'],TRUE,90,23,1.3,0.3,,0.973529616,0,35.51198816
APPLE,['APPLE'],TRUE,80,22,0,0,,0.973529616,0,35.51198816
AVOCADO,['AVOCADO'],TRUE,80,4.3,1,7.4,,0.973529616,0,35.51198816
BANANA,['BANANA'],TRUE,90,23,1,0,,0.973529616,0,35.51198816
BATTER CAROL BISCUIT,['BATTER CAROL BISCUIT'],TRUE,26,4.2,0.4,0.75,,0.973529616,0,35.51198816
BEETROOT CURRY WITH COCONUT MILK,['BEETROOT CURRY WITH COCONUT MILK'],TRUE,89,11,2,4.7,,0.973529616,0,35.51198816
BOILED CHICKPEAS,['BOILED CHICKPEAS'],TRUE,164,27,9,2.6,,0.973529616,0,35.51198816
BOILED COWPEA,['BOILED COWPEA'],TRUE,116,21,7.7,0.5,,0.973529616,0,35.51198816
BOILED JACKFRUIT SEED,['BOILED JACKFRUIT SEED'],TRUE,13,2.5,0.6,0.1,,0.973529616,0,35.51198816
BOILED MUNG,['BOILED MUNG'],TRUE,105,19,7,0.4,,0.973529616,0,35.51198816
BOILED POTATOES,['BOILED POTATOES'],TRUE,44,10.3,1,0.1,,0.973529616,0,35.51198816
BOILED SWEET POTATO,['BOILED SWEET POTATO'],TRUE,90,20,1.6,0.1,,0.973529616,0,35.51198816
BROWN RICE,['BROWN RICE'],TRUE,90,19,2,1,,0.973529616,0,35.51198816
BUTTER CAKE,['BUTTER CAKE'],TRUE,220,27,2,12,,0.973529616,0,35.51198816
"CASHEW APPLE, RAW","['CASHEW APPLE, RAW']",TRUE,290.1459459,20.97941667,4.363083333,5.174083333,0,1.72575162,17.62763952,594.6611403
"CASHEW NUTS, ROASTED, SALTED","['CASHEW NUTS', 'ROASTED', 'SALTED']",TRUE,139.2,25.52,2.86,3.94,4.3248,3.1926,0,9.1188002
CHICKEN BREAST,['CHICKEN BREAST'],TRUE,165,0,31,3.6,,0.973529616,0,35.51198816
CHICKEN CURRY,['CHICKEN CURRY'],TRUE,180,0,27,8,,0.973529616,0,35.51198816
CHICKEN GRAVY,['CHICKEN GRAVY'],TRUE,25,0,3.5,1.5,,0.973529616,0,35.51198816
CHOCO BAR,['CHOCO BAR'],TRUE,60,6,0.5,4,,0.973529616,0,35.51198816
