Food,Quantity,Carbohydrate_(g),Protein_(g),Fat_(g),Category,Vegetarian,Recipe/Single_food_item,Calories_(kcal),Protein_(g)_nutritions,Fats_(g),Carbohydrates_(g),Fiber_(g),Starch_(g),Cholesterol_(mg),Calcium_(mg),Magnesium_(mg),Iron_(mg),Zinc_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Vitamin_B6_(mg),Vitamin_B12_(mcg),"Folate,_ug",Vitamin_C_(mg),Retinol_Activity_Equivalents_(ug),Vitamin_E_(ug),total_n-6_fas_(%_of_energy),total_n-3_fas_(%_of_energy),Vitamin_B5_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Selenium_(mcg),Retinol_(mcg),Saturated_fatty_acids_(g),Mono-unsaturated_fatty_acids_(g),Poly-unsaturated_fatty_acids_(g),Free_sugars_(g)
ADA,80.0,61.0,5.0,2.0,,,S,280.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AGATHI FLOWERS, TEMPERED",,,,,,,R,,9.288287163,10.81378651,10.609272,10.40014553,5.58928299,0.0,906.6439819,108.9732895,4.939284801,0.706838965,0.266051203,0.336980194,1.338399887,0.303277045,,113.6247635,111.7454987,1883.221191,1.817338943,,,0.802873015,78.34031677,809.4143066,20.9017849,30.84196281,,,,,2.595276117
AGGALA,,,,,,,R,,3.7,0.5,91.3,0,45.8,0.0,20.0,15.6,1.26,0.83,0.06,0.03,2.0,0.12,0.0,11.4,0.1,0.0,0.1,0.3,0.0,,,,,,,,,,
ALMONDS,30.0,6.0,6.0,15.0,,,S,180.0,18.4,58.5,3.0,13.1,0.0,0.0,228.0,318.0,4.59,3.5,0.15,0.26,3.7,0.09,0.0,36.5,0.7,0.0,25.9,19.4,0.0,,,,,,,,,,
ALUWA,100.0,85.0,3.0,8.0,,,S,400.0,3.3,0.4,79.7,1.2,40.0,0.0,18.0,13.6,1.09,0.73,0.05,0.03,1.8,0.1,0.0,10.0,0.1,0.0,0.1,0.3,0.0,,,,,,,,,,
"AMARANTH LEAVES, BOILED, W/ COCONUT MILK",,,,,,,R,,3.572233,11.603986,5.3771262,3.0383439,0.70081401,0.0,220.90326,134.41615,3.0925009,1.242702,0.028137099,0.12930165,0.82762003,0.15973285,,43.675716,38.947781,885.64069,0.334923,,,0.298511,59.223755,421.30972,12.471361,11.643946,,128.83292,33.138187,231.82468,0.71595401
"AMARANTH LEAVES, FRESH OR WATER-COOKED MALLUM W/ SCRAPED COCONUT",,,,,,,R,,3.7,12.4,8.0,3.4,0.2,0.0,571.0,135.7,16.19,1.25,0.03,0.04,0.1,0.03,0.0,10.6,9.4,804.0,0.9,1.2,0.0,,,,,,,,,,
"AMARANTH LEAVES, TEMPERED",,,,,,,R,,6.0670543,17.161535,8.1330433,7.816566,3.1564021,0.0,339.73566,277.65109,5.4131107,1.971606,0.053597949,0.29469284,1.2237672,0.36328664,,89.728615,94.989296,1661.7511,0.75497299,,,0.76578903,144.58707,955.00397,26.323135,24.048986,,337.95044,305.48926,677.64728,2.1310852
"AMARANTH LEAVES, TEMPERED MALLUM W/ SCRAPED COCONUT",,,,,,,R,,3.6,15.8,7.6,3.3,0.1,0.0,549.0,130.1,15.59,1.2,0.03,0.04,0.1,0.03,0.0,9.9,9.2,774.0,0.9,1.3,0.0,,,,,,,,,,
"AMBARELLA, RAW",,,,,,,S,,0.73,0.44,7.46,4.67,5.53,,20.7,9.28,0.7,0.12,,0.01,0.42,0.1,0.0,44.49,35.51,3.36,0.43,,,0.12,14.6,174.0,5.99,2.52,,,,,
"AMBARELLA, TEMPERED, W/ COCONUT MILK",,,,,,,R,,1.4,21.5,17.9,1.4,1.7,0.0,48.0,8.7,0.86,0.1,0.03,0.02,0.7,0.01,0.0,2.2,12.7,26.0,0.1,0.6,0.0,,,,,,,,,,
"AMBARELLA, W/ COCONUT MILK",,,,,,,R,,1.5,15.8,12.4,1.4,1.8,0.0,47.0,8.9,0.88,0.1,0.02,0.02,0.6,0.01,0.0,2.2,12.2,26.0,0.0,0.3,0.0,,,,,,,,,,
AMBUL KESEL,50.0,11.0,0.5,0.1,,,S,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMBUN KESEL,100.0,23.0,1.3,0.3,,,S,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
