Food ID,Food Name,Category,Region,Price (LKR),Calories,Vegetarian
1,Sri Lankan Salad,Breakfast,Anuradhapura,673.64,848,No
2,String Hoppers,Lunch,Jaffna,831.09,414,No
3,Sri Lankan Coffee,Lunch,Kurunegala,326.39,463,No
4,Seeni Sambol,Beverage,Colombo,781.57,810,Yes
5,Kiri Hodhi,Lunch,Batticaloa,151.76,245,No
6,Kokis,Side Dish,Jaffna,812.18,420,Yes
7,Samosa,Breakfast,Kandy,941.61,558,Yes
8,Coconut Toffee,Snack,Jaffna,731.17,769,Yes
9,Coconut Sambol,Beverage,Batticaloa,716.39,942,No
10,Jaggery,Main Dish,Jaffna,484.99,557,No
11,Banana Fritters,Snack,Batticaloa,1139.07,680,Yes
12,Spicy Cashew,Dinner,Ratnapura,318.91,998,Yes
13,Coconut Sambol,Dinner,Matara,1024.41,450,No
14,String Hoppers,Dinner,Kurunegala,986.99,449,No
15,Malu Pan,Dinner,Anuradhapura,1304.98,390,Yes
16,Kola Kenda,Dessert,Jaffna,970.2,438,No
17,Fish Patties,Main Dish,Jaffna,465.05,652,Yes
18,Banana Fritters,Breakfast,Gampaha,1235.18,270,No
19,Beetroot Curry,Side Dish,Kurunegala,293.76,344,Yes
20,Thosai,Side Dish,Batticaloa,227.32,120,No
21,Kukul Mas Curry,Breakfast,Batticaloa,431.83,490,Yes
22,Coconut Sambol,Breakfast,Galle,394.01,625,Yes
23,Rice and Curry,Dinner,Matara,1084.97,266,Yes
24,Sweet Appam,Beverage,Matara,1444.41,944,Yes
25,Vegetable Roti,Breakfast,Jaffna,1380.94,284,Yes
26,Lemon Puff,Dinner,Colombo,883.12,993,Yes
27,Kiribath,Breakfast,Kandy,208.98,852,No
28,Coconut Cake,Main Dish,Kurunegala,1027.72,303,No
29,Pol Roti,Breakfast,Colombo,95.66,479,Yes
30,Fish Roll,Side Dish,Ratnapura,519.21,662,Yes
31,Woodapple Juice,Beverage,Matara,833.22,783,Yes
32,Passionfruit Juice,Side Dish,Ratnapura,419.55,305,Yes
33,String Hoppers,Breakfast,Matara,808.39,200,No
34,Polos Curry,Dessert,Gampaha,968.58,137,No
35,Coconut Sambol,Main Dish,Jaffna,478.18,852,No
36,Vegetable Kottu,Lunch,Ratnapura,683.02,705,No
37,Chicken Kottu,Dessert,Ratnapura,563.52,711,No
38,Kurakkan Roti,Dessert,Kandy,690.13,567,No
39,Polos Curry,Dessert,Kandy,1354.16,829,No
40,Eggplant Curry,Dessert,Anuradhapura,63.98,772,Yes
41,Iced Coffee,Breakfast,Kurunegala,84.48,918,Yes
42,Pineapple Juice,Main Dish,Anuradhapura,983.6,760,No
43,Egg Roti,Breakfast,Galle,573.45,793,Yes
44,Kottu,Side Dish,Kurunegala,1435.2,327,Yes
45,Spicy Cashew,Side Dish,Ratnapura,146.28,408,No
46,Coconut Milk,Dessert,Jaffna,319.41,861,Yes
47,Prawn Curry,Breakfast,Batticaloa,191.09,758,Yes
48,Beetroot Curry,Beverage,Ratnapura,1084.16,246,Yes
49,Chicken Kottu,Beverage,Jaffna,773.91,485,Yes
50,Pittu,Lunch,Colombo,1231.57,789,No
51,Kurakkan Roti,Side Dish,Anuradhapura,850.49,569,No
52,Chicken Kottu,Dessert,Matara,209.05,325,Yes
53,Pineapple Juice,Main Dish,Galle,286.83,337,No
54,Mango Juice,Beverage,Ratnapura,988.1,656,Yes
55,Mutton Curry,Dinner,Ratnapura,1237.26,589,No
56,Falooda,Snack,Kandy,658.26,447,Yes
57,Mango Juice,Snack,Batticaloa,714.01,909,No
58,Prawn Curry,Breakfast,Kandy,1163.47,610,Yes
59,Kavum,Side Dish,Kandy,849.7,600,Yes
60,Kiri Hodhi,Snack,Ratnapura,1493.25,247,No
61,Eggplant Curry,Side Dish,Jaffna,925.17,795,No
62,Kukul Mas Curry,Breakfast,Matara,81.94,322,No
63,Banana Fritters,Snack,Kurunegala,1178.25,538,Yes
64,Kiribath,Lunch,Galle,447.88,494,No
65,Spicy Cashew,Side Dish,Matara,57.47,221,Yes
66,Fried Rice,Breakfast,Batticaloa,560.9,428,Yes
67,Vegetable Kottu,Breakfast,Anuradhapura,987.6,979,Yes
68,Lunu Miris,Snack,Colombo,1168.19,902,No
69,Fish Ambul Thiyal,Dinner,Gampaha,1222.92,860,Yes
70,Parippu,Breakfast,Galle,281.36,273,No
